Curriculum,Biochemistry,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,26.0202,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,General Chemistry I,CHEM,151,,,,4,,,1
2,Calculus I,MATH,122A/B,,,,4,,,1
3,English Composition,ENGL,101,,,,3,,,1
4,Tier I General Education,,,,,,3,,,1
5,General Chemistry II,CHEM,152,1,,,4,,,2
6,Calculus II,MATH,129,2,,,3,,,2
7,English Composition II,ENGL,102,3,,,3,,,2
8,Tier I General Education,,,,,,3,,,2
9,Organic Chemistry I Lecture,CHEM,241A,5,,,3,,,3
10,Organic Chemistry I Lab,CHEM,243A,,10,,2,,,3
11,Introductory Biology,MCB,181R,,,,3,,,3
12,Introductory Biology Lab,MCB,181L,,11,,1,,,3
13,Calculus III,MATH,223,6,,,3,,,3
14,Mathematical Physics for Chemistry,CHEM,380,6,,,4,,,3
15,Second Language,,,,,,4,,,3
16,Introduction to Biochemical Research,BIOC,296B,,,,1,,,3
17,Organic Chemistry II Lecture,CHEM,241B,6,,,3,,,4
18,Organic Chemistry II Lab,CHEM,243B,10,,,2,,,4
19,Introductory Biology II,ECOL,182R,,,,3,,,4
20,Introductory Biology II Lab,ECOL,182L,,19,,1,,,4
21,Tier I General Education,,,,,,3,,,4
22,Second Language,,,,,,4,,,4
23,Biochemistry I,BIOC,462A,2;11;17;18,,,4,,,5
24,Biochemical Lab,BIOC,463A,,23,,4,,,5
25,Physics I w/lab,PHYS,141,,,,4,,,5
26,Tier II General Education,,,,,,3,,,5
27,Elective,,,,,,3,,,5
28,Biochemistry I,BIOC,462B,23,,,4,,,6
29,Biochemistry of Nucleic Acids,BIOC,466,23,,,4,,,6
30,Physics II w/lab,PHYS,241,25,,,4,,,6
31,Tier I General Education,,,,,,3,,,6
32,Physical Chemistry I,CHEM,480A,5;14;25,,,3,,,7
33,(H) Senior Capstone,BIOC,498,24,,,3,,,7
34,Tier II General Education,,,,,,3,,,7
35,Elective,,,,,,3,,,7
36,Physical Chemistry II or CHEM 481 Biophysical,CHEM,480B,5;14;30,,,3,,,8
37,(H) Senior Capstone,BIOC,498,24,,,3,,,8
38,Tier II General Education,,,,,,3,,,8
39,Elective,,,,,,3,,,8