Curriculum,Mathematics Economics and Business Emphasis,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,27.03,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Calculus I,MATH,122A/B,,,,4,,,1
2,First-Year Composition,ENGL,101,,,,3,,,1
3,Tier I General Education,,,,,,3,,,1
4,Second Language,,,,,,4,,,1
5,General Elective,,,,,,1,,,1
6,Calculus II,MATH,129,1,,,3,,,2
7,Supporting Computer Science,,,,,,3,,,2
8,First-Year Composition,ENGL,102,2,,,3,,,2
9,Tier I General Education,,,,,,3,,,2
10,Second Language,,,,,,4,,,2
11,Vector Calculus,MATH,223,6,,,4,,,3
12,Intro to Linear Algebra,MATH,313,6,,,3,,,3
13,Tier I General Education,,,,,,3,,,3
14,Tier I General Education,,,,,,3,,,3
15,Second Language,,,,,,4,,,3
16,Formal Math Reasong + Wrtg,MATH,323,12,,,3,,,4
17,Anls Ord Diff Equations,MATH,355,6,,,3,,,4
18,Tier I General Education,,,,,,3,,,4
19,Tier I General Education,,,,,,3,,,4
20,Second Language,,,,,,4,,,4
21,Intro Abstract Algebra,MATH,425A,16,,,3,,,5
22,Theory of Probability,MATH,464,11;16,,,3,,,5
23,Minor course,,,,,,3,,,5
24,Tier II General Education,,,,,,3,,,5
25,Tier II General Education,,,,,,3,,,5
26,Economics and Business Emphasis Elective,,,,,,3,,,6
27,Minor course,,,,,,3,,,6
28,Tier II General Education,,,,,,3,,,6
29,Tier II General Education,,,,,,3,,,6
30,General Elective,,,,,,3,,,6
31,Economics and Business Emphasis Elective,,,,,,3,,,7
32,Minor course,,,,,,3,,,7
33,Minor course,,,,,,3,,,7
34,General Elective,,,,,,3,,,7
35,General Elective,,,,,,3,,,7
36,Economics and Business Emphasis Additional Course,,,,,,3,,,8
37,Minor course,,,,,,3,,,8
38,Minor course,,,,,,3,,,8
39,General Elective,,,,,,3,,,8